Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
59,0.2257,0,0,0,0,0.1611,0,0,0,0,0.422,0.078,0.0318,0,0.0395,0.3865
60,0.2043,0,0,0,0,0,0,0,0.5,0,0,0,0,0.104,0.2644,0
61,0.2008,0.0392,0,0,0.0784,0.0033,0.1336,0.018,0,0,0,0,0.0024,0,0,0
62,0,0.0871,0,0,0,0,0,0.1407,0.0658,0.0458,0,0,0,0,0,0
63,0.2233,0.0133,0.033,0,0.179,0.2344,0,0.009,0,0.0048,0,0,0,0,0,0
64,0,0,0,0,0.0856,0.0691,0,0,0,0.0236,0,0.0379,0,0,0,0.0303
65,0.1138,0,0,0.1271,0.0691,0,0,0.5,0,0.0148,0.0594,0.0205,0,0,0,0.0928
66,0,0,0,0,0,0.0509,0.2162,0,0,0,0,0,0,0,0,0
67,0,0,0,0.4297,0,0.0991,0,0,0,0.0424,0,0.1356,0.0423,0,0,0.0782
68,0,0,0,0,0,0.0045,0.5793,0.0929,0.019,0.1204,0,0.0466,0.4853,0,0.0789,0
69,0,0,0,0,0.0739,0.0535,0.5,0.0141,0,0,0.084,0,0.0332,0.0509,0,0.0689
70,0.0946,0,0,0,0,0,0,0,0,0.0672,0,0,0.0733,0.1066,0,0
71,0,0,0,0,0,0.0463,0.5496,0,0,0,0,0.0702,0,0.0955,0.0869,0
72,0.223,0.0612,0,0.0025,0,0.0045,0.1029,0.0435,0.0499,0,0,0.0881,0.2486,0.3307,0,0
73,0.0508,0,0.0256,0.0437,0.0288,0.0045,0.1429,0,0.1019,0,0,0,0,0.2158,0,0.0994
74,0.1154,0.086,0,0,0,0,0,0,0,0,0.2133,0,0,0,0.0307,0.0398
75,0,0,0.0598,0.0791,0,0,0,0,0,0.0805,0,0.0596,0,0.4794,0,0
76,0.2418,0,0.0246,0.0993,0.1546,0.095,0,0,0.1529,0.1005,0,0,0,0,0,0
77,0.0399,0.019,0,0,0.2277,0.0045,0,0,0,0.0048,0.2287,0,0,0,0,0.1946
78,0,0.0255,0.0826,0,0.2965,0.097,0.5,0,0,0.0105,0,0,0,0.2438,0.1413,0.0353
79,0.0553,0.205,0,0.1424,0.0278,0.4935,0,0,0,0.0883,0,0,0,0,0.1338,0
80,0,0,0.0651,0,0.1287,0,0.5437,0,0,0,0,0,0.2427,0,0.0079,0.0121
81,0.0382,0,0,0.064,0.1871,0,0.1544,0,0,0,0,0,0.0203,0.0143,0.1231,0
82,0.0593,0.0816,0,0.2054,0.113,0.0511,0.4348,0,0,0.1054,0,0.0596,0,0,0,0.1048
83,0,0.0409,0,0.204,0,0.0045,0,0,0,0.0217,0.0578,0.0461,0,0.0442,0.2492,0
84,0,0,0.0256,0,0,0.2112,0.0095,0.0141,0,0,0,0,0.5398,0,0,0
85,0.0568,0,0,0,0.0801,0.2194,0.4634,0,0,0,0,0,0.1565,0.1655,0,0
86,0,0,0.0477,0,0.0147,0,0,0.0498,0.079,0.0048,0,0,0.086,0,0,0
87,0.008,0,0.0463,0,0,0,0,0,0,0.1662,0,0,0,0,0,0.5
88,0.0916,0.0905,0.0641,0.1102,0,0,0,0,0.0285,0.0447,0,0,0.4691,0.1675,0.0093,0
89,0,0.0345,0.2022,0,0,0,0,0,0.0252,0.1684,0.0237,0,0,0.0282,0,0
90,0.2519,0,0,0,0.2068,0,0.2997,0.0309,0.5381,0,0,0,0.0108,0,0,0
91,0.1827,0,0.0993,0.009,0,0,0,0,0,0,0.1956,0,0.0927,0,0,0
92,0,0.1321,0,0.5,0,0,0,0,0,0.071,0,0,0,0,0.4162,0
93,0,0,0,0.2083,0.0329,0,0,0,0,0,0,0,0,0,0,0
94,0,0.2971,0.0014,0,0,0,0,0,0.0049,0,0,0,0.3602,0,0,0
95,0.5,0.0897,0,0,0.1107,0,0,0,0.0565,0.0193,0,0,0.0514,0,0.1168,0
96,0,0,0,0,0,0,0,0,0,0.1062,0.5,0.0306,0.0625,0.0613,0,0
97,0.0467,0.5,0.2131,0.0205,0,0,0,0,0.0512,0.1683,0.0462,0,0,0.5,0,0.4221
98,0.0351,0.0849,0,0.0504,0.5182,0,0.3049,0,0,0.0445,0,0,0,0,0.1173,0
99,0.5,0,0,0.0567,0,0,0,0,0,0.1966,0,0,0,0,0,0
100,0,0,0,0.0162,0,0,0,0.1027,0.0466,0,0,0,0.0255,0,0.2261,0
101,0.0736,0,0,0.0262,0,0.1967,0.1327,0.0874,0.3395,0.0277,0,0,0.0104,0,0,0
102,0.0168,0.004,0.0282,0,0.0725,0.0692,0,0,0,0.0647,0.5,0,0.0425,0.0176,0.0507,0
103,0,0.1374,0,0,0,0.1201,0,0,0.0658,0,0.6982,0,0.0265,0.0571,0.1066,0
104,0.5,0.5224,0,0.2084,0.0722,0.0488,0,0,0.1115,0,0,0,0,0,0,0
105,0,0,0,0,0.0272,0,0,0,0,0.0553,0,0,0.1324,0.195,0,0
106,0.0964,0,0,0,0.0339,0,0,0.0309,0,0.0979,0,0.1804,0.1332,0,0.0243,0
107,0,0,0,0.0607,0,0.0282,0,0.047,1,0,0,0.3331,0.1221,0,0,0
108,0.2069,0,0.0885,0.2266,0.0163,0.0265,0,0,0,0.0611,0,0,0.0255,0,0.1881,0
109,0.3901,0.0583,0.0667,0,0,0,0,0,0.0509,0.1967,0,0,0.1387,0.116,0.0361,0.1539
110,0.0996,0,0,0.2123,0.1347,0,0,0,0.1919,0,0,0.3342,0,0.2567,0.0587,0.1401
111,0,0.0691,0,0.1433,0.0483,0,0,0,0.0053,0,0.1604,0,0.049,0.053,0.0944,0.0051
112,0,0,0.0423,0.0297,0,0,0,0,0.0293,0,0.0885,0,0,0,0.2557,0.1204
113,0,0,0.0128,0.1783,0.191,0,0,0,0,0.0588,0,0,0.1138,0.0418,0,0
114,0,0.0281,0,0,0,0,0,0,0.1129,0.2932,0,0.5,0.0407,0.4119,0,0.2785
115,0.1031,0.1125,0.0953,0,0.1346,0,0,0,0,0.0988,0,0.1567,0.0571,0.0196,0,0.0782
116,0.0099,0.0303,0.0575,0,0.1265,0,0.0339,0,0,0,0.5018,0.5,0,0.0688,0,0.0236
117,0.1817,0,0,0,0.5322,0.0692,0,0,0,0.0521,0,0,0,0.1632,0,0.219
118,0,0,0,0.1529,0,0.0265,0,0,0,0.1268,0,0.5,0.0055,0,0.052,0.0822
119,0,0,0.0248,0,0.1579,0,0,0.0373,0,0,0,0.1571,0.5,0,0.4348,0.0893
120,0.047,0.0796,0,0,0.0818,0,0.0796,0,0,0,0,0.2694,0.0679,0,0,0
121,0,0.0579,0.1237,0,0,0.1505,0,0,0,0,0,0,0.0784,0,0,0
122,0,0,0.0484,0,0,0.0473,0,0,0.5,0,0,0,0.0532,0,0,0
123,0,0.5,0,0.2195,0,0,0.0936,0,0,0,0,0,0,0.5,0.0428,0
124,0,0.0002,0,0.2347,0.0028,0,0,0,0,0,0,0,0,0,0.0274,0.0265
125,0,0.1117,0.0005,0,0.1567,0.0265,0,0.0284,0,0,0,0,0,0,0.1426,0.2279
126,0.2862,0,0.0855,0,0.2069,0.0669,0.1357,0,0,0.1001,0,0,0,0,0,0.0784
127,0.1166,0,0,0.265,0.0288,0,0,0,0,0.0631,0,0,0,0.116,0,0
128,0,0,0,0.0272,0.2515,0.0302,0,0,0.0399,0.0422,0,0,0,0,0,0
129,0.0749,0,0.0476,0,0.2055,0.0507,0.5,0,0,0.0436,0,0,0,0,0,0.5
130,0.1083,0,0,0,0.0811,0,0.4581,0,0,0.0595,0.0143,0,0.1891,0,0,0
131,0.1038,0,0,0,0,0.0068,0.3168,0,0,0,0.0048,0,0.019,0,0.0359,0
132,0.0307,0.4383,0,0.2497,0.0506,0.1301,0.5,0,0,0,0.4479,0,0,0.3017,0,0
133,0.3747,0,0.1616,0.4386,0.2542,0.0237,0,0,0,0,0,0,0,0.0375,0.0365,0.0893
134,0,0.2674,0,0,0.0953,0,0.5121,0,0,0,0.0048,0,0,0,0,0.0352
135,0.1563,0,0,0.0658,0.0353,0.0536,0.5,0.0802,0,0,0,0,0,0.0072,0,0
136,0.5,0,0,0.2402,0.0625,0,0.4796,0,0,0,0,0,0,0.2082,0,0
137,0,0,0,0.0097,0,0,0,0,0.2354,0,,0,0,0,0,0
138,0.0733,0,0.2007,0.2004,0,0.0722,0.0182,0,0,0,,0,0,0.331,0,0
139,0,0,0,0,0,0.0176,0,0,0,0.0498,,0,0,0,0.1017,0
140,0,0.1025,0,0.5,0.1355,0,0,0.0987,0,0.1914,,0,0,0.1418,0,0
141,0,0.0516,0.0617,0,0.1089,0,0,0,0.5082,0,,0,0.034,0.0312,0.4914,0
142,0,0,0,0,0.0489,0.0973,0.5,0,0,0.0981,,0,0.0438,0.0174,0,0.0259
143,0.0238,0.0409,0,0.1778,0,0,0.1078,0,0.1054,0.0387,,0,0,0,0.4417,0.0185
144,0,0,0.249,0.1148,0.2004,0,0.1944,0,0.5,0,,0,0,0,0.1188,0
145,0.1551,0,0.1021,0.0795,0.0946,0,0,0.0462,0,0,,0,0.0995,0,0,0.0517
146,0.3914,0.0855,0.0253,0,0.0454,0.2158,0,0,0.2578,0,,0,0,0,0,0.3357
147,0,0.1468,0.3012,0,0,0,0.5,0.0839,0.4655,0.0185,,0.23,0,0,0.5488,0.0658
148,0.0234,0,0,0,0,0,0,0.1791,0.1072,0,,0,0,0.2873,0.2813,0
149,0.1504,0,0,0.1868,0,0.0691,0,0,0,0,,0,0,0.0928,0,0
150,0.4718,0,0.0098,0,0,0,0,0,0,0,,0,0,0.4203,0,0.0579
151,0,0,0.2325,0.3436,0,0,0.0846,0,0,0,,0,0,0,0,0.031
152,0.0586,0.1334,0,0.005,0.0492,0.0045,0,0.0547,0.2696,0,,0,0,0,0,0
153,0,0.0132,0.0179,0,0.4357,0.107,0,0,0.0481,0,,0.0006,0.069,0,0,0
154,0.3089,0,0,0.2679,0,0,0,0.1043,0,0,,0.1764,0,0.1527,0.0092,0
155,0,0,0.0794,0,0,0.0691,0,0,0.136,0,,0,0,0,0,0.1931
156,0,0,0,0.1764,0,0,0.2121,0,0.0178,0.0024,,0,0,0.0124,0,0.0303
157,0.4977,0,0,0,0.1102,0,0.5081,0.1375,0,0.1078,,0.0663,0,0,0,0
158,0,0.0011,0.0039,0.0854,0,0,0,0,0,0.0441,,0.0043,0,0,0.0157,0
159,0,0.0123,0.1453,0.1474,0.0786,0,0.2025,0.0093,0,0.2009,,0,0,0,0.2559,0
160,0.0137,0,0.1039,0,0.0466,0.0767,0.2048,0.0304,0.0691,0,,0.0323,0.0422,0,0.1685,0
161,0,0,0.1812,0.4372,0.2525,0,0,0,0.0386,0,,0,0.1062,0.0637,0,0
162,0,0,0.0431,0,0,0,0,0,0,0.0085,,0,0,0.0679,0.102,0.0588
