Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
823,0,,,0.1278,0,0,,0,0,0.1674,,0,0.0297,,,
824,0.0326,,,0,0,0,,0.0104,0,0.0129,,0,0,,,
825,0.3901,,,0,0,0,,0,0.0376,0.0263,,0,0.0126,,,
826,0.2912,,,0,0,0.0621,,0.0104,0,0,,0,0.0828,,,
827,0,,,0,0,0.1996,,0,0.4274,0.041,,0,0,,,
828,0.3881,,,0,0,0.5,,0,0.0605,0.0261,,0,0.5051,,,
829,0.0823,,,0,0.1862,0.0777,,0,0.0609,0,,0.0764,0,,,
830,0,,,0.0741,0,0.0769,,0.139,0.0478,0,,0.3289,0,,,
831,0,,,0,0.302,0.1014,,0,0,0,,0.3161,0,,,
832,0,,,0,0,0,,0,0,0,,0.0544,0.2599,,,
833,0.171,,,0,0,0.0989,,0.1696,0.0146,0,,0.1301,0.0337,,,
834,0,,,0,0,0.5,,0.1041,0,0.0784,,0.0239,0.189,,,
835,0.0623,,,0.2404,0,0.1851,,0,0,0,,0.1721,0,,,
836,0,,,0.0419,0,0,,0.0548,0.0908,0.0159,,0,0.1405,,,
837,0,,,0.0808,0.2308,0.0567,,0,0.0784,0,,0.0265,0.2038,,,
838,0.0916,,,0,0.1535,0.2892,,0.0233,0,0.252,,0,0.0083,,,
839,0,,,0.1268,0.1701,0.4354,,0.2758,0,0,,0.0138,0.0349,,,
840,0,,,0.0474,0,0,,0.0999,0.1529,0.5092,,0.3155,0.0083,,,
841,0,,,0,0.0572,0.2604,,0.172,0.5,0.1664,,0,0,,,
842,0,,,0,0.1588,0.2531,,0,0.1054,0,,0,0,,,
843,0.1239,,,0,0,0.221,,0.1005,0.0949,0.0058,,0.5,0,,,
844,0,,,0.1164,0,0.0126,,0,0,0,,0,0.0384,,,
845,0.0924,,,0.1738,0,0.0077,,0,0.5,0,,0,0.0083,,,
846,0.5,,,0,0.032,0.3378,,0.1007,0,0,,0.2053,0,,,
847,0.2679,,,0,0,0,,0,0,0,,0.1036,0.1334,,,
848,0,,,0.0152,0,0.3283,,0,0,0.0473,,0.135,0,,,
849,0,,,0,0,0,,0.0782,0,0.3052,,0.1504,0.0241,,,
850,0,,,0.0799,0,0.2893,,0,0,0,,0.5,0.0973,,,
851,0.0555,,,0.0834,0,0.2648,,0.1329,0.0499,0,,0,0,,,
852,0,,,0.0427,0.1264,0.1914,,0,0,0.0965,,0,0.0676,,,
853,0.2975,,,0.0877,0,0,,0,0,0.058,,0,0.5,,,
854,0,,,0,0,0,,0,0.044,0,,0,0.0533,,,
855,0,,,0.2123,0,0,,0,0.5,0.2251,,0,0.1116,,,
856,0.084,,,0.1421,0,0,,0,0.0871,0.0711,,0,0.0056,,,
857,0,,,0,0.0446,0.3301,,0.015,0,0,,0.4459,0,,,
858,0.064,,,0.0358,0.0162,0,,0,0,0.0474,,0,0,,,
859,0,,,0.048,0,0,,0,0.0687,0,,0,0.0301,,,
860,0.0791,,,0.4609,0,0,,0,0,0.087,,0,0.0948,,,
861,0.3681,,,0.3774,0,0.0618,,0.1733,0,0.0681,,0.1152,0,,,
862,0.0769,,,0.51,0,0.0741,,0,0,0.0921,,0.0864,0.5,,,
863,0,,,0.2123,0,0.4871,,0.054,0,0.0121,,0,0.0097,,,
864,0.0819,,,0,0.0415,0,,0,0.0952,0,,0,0,,,
865,0,,,0,0.0352,0,,0,0.2132,0.132,,0.0454,0.0962,,,
866,0.2633,,,0,0.0062,0,,0,0.155,0.2034,,0,0,,,
867,0,,,0.0543,0,0,,0.0647,0,0.2034,,0.1147,0.0523,,,
868,0.0219,,,0,0.0827,0.0077,,0.2553,0,0.1942,,0.0229,0,,,
869,0,,,0.0841,0.0354,0,,0,0.0203,0.3224,,0.1884,0,,,
870,0,,,0.1447,0,0.1386,,0.0104,0.0209,0.4843,,0,0,,,
871,0.204,,,0,0,0,,0,0.0544,0,,0.1162,0.1096,,,
872,0,,,0,0,0.0732,,0.0933,0.0645,0.2306,,0,0,,,
873,0,,,0,0.095,0.1256,,0,0,0.2578,,0,0.0234,,,
874,0.0435,,,0,0,0,,0.7353,0,0,,0,0,,,
875,0,,,0.4999,0.5,0,,0.1646,0,0.1029,,0,0,,,
876,0.1343,,,0.0502,0.1682,0.1097,,0,0,0,,0,0,,,
877,0.2773,,,0.1429,0,0,,0.0966,0,0,,0,0,,,
878,0,,,0,0,0,,0.0104,0.3843,0,,0.405,0,,,
879,0.1499,,,0.3557,0,0.0228,,0.0479,0,0,,0,0.0987,,,
880,0.1294,,,0.0223,0.0681,0,,0.0528,0,0.2304,,0,0,,,
881,0.0491,,,0.0422,0.0354,0,,0,0.1125,0.3757,,0.054,0.1033,,,
882,0,,,0,0.0523,0,,0,0.2277,0.2746,,0.1282,0,,,
883,0,,,0.0298,0,0.2716,,0.1453,0,0.176,,0.0225,0,,,
884,0.1688,,,0.0486,0.1399,0,,0.1271,0.002,0.0742,,0,0,,,
885,0.0304,,,0.1564,0.2353,0,,0,0.5,0,,0.1399,0.091,,,
886,0.3072,,,0,0.1013,0.1219,,0,0,0.1114,,0.2158,0,,,
887,0,,,0.0305,0.285,0.0978,,0.0415,0,0,,0.0946,0.5,,,
888,0,,,0,0,0,,0,0,0,,0.0625,0.0716,,,
889,0.2862,,,0,0.0634,0.0682,,0,0.0993,0.0848,,0.1113,0,,,
890,0,,,0.3566,0.0178,0,,0.0304,0,0,,0,0,,,
891,0.3322,,,0.0844,0,0,,0,0.0342,0.0994,,0,0.4771,,,
892,0,,,0.1038,0,0,,0,0,0.0522,,0,0,,,
893,0,,,0,0,0,,0.0579,0,0.0174,,0,0,,,
894,0.2567,,,0,0,0.0459,,0,0.0481,0,,0,0.051,,,
895,0.1178,,,0.0499,0.0848,0,,0,0.081,0.1765,,0.0547,0.0443,,,
896,0,,,0,0.0309,0,,0.0824,0.0112,0,,0.0724,0,,,
897,0,,,0.2514,0,0,,0.0114,0,0,,0.1003,0,,,
898,0.5,,,0,0.5082,0.0286,,0.1005,0,0,,0.5,0,,,
899,0.3496,,,0.0276,0.1758,0,,0,0,0.0101,,0.4975,0.0321,,,
900,0,,,0.4832,0,0.0262,,0,0,0.0998,,0.0225,0.3829,,,
901,0,,,0,0.5,0,,0,0.0933,0.0018,,0,0,,,
902,0,,,0,0.5027,0,,0.0793,0,0,,0.0307,0.4821,,,
903,0,,,0.0771,0.0293,0,,0.0577,0.2991,0.0671,,0.085,0,,,
904,0,,,0.0031,0,0,,0,0,0.2111,,0.3238,0,,,
905,0.3387,,,0.5,0,0.1264,,0,0.3046,0,,0,0.0321,,,
906,0,,,0,0,0,,0,0.0546,0,,0,0,,,
907,0.0241,,,0.4947,0,0,,0,0.07,0.0647,,0,0.0904,,,
908,0.2226,,,0.2044,0,0,,0.0591,0,0,,0.1787,0,,,
909,0.0783,,,0.2794,0.0348,0.0077,,0,0,0,,0,0,,,
910,0.0465,,,0,0.227,0,,0.0104,0.3476,0.0474,,0.1113,0.0272,,,
911,0.2918,,,0.4566,0,0.06,,0,0.2824,0.291,,0.1127,0.0096,,,
912,0,,,0.0994,0.0242,0.0096,,0.0828,0.0399,0.0435,,0,0,,,
913,0,,,0.1019,0,0.2635,,0,0.0087,0.0496,,0,0,,,
914,0,,,0.0009,0,0.0549,,0.0532,0,0,,0.0334,0,,,
915,0,,,0,0,0,,0.2415,0.3382,0,,0.0379,0,,,
916,0,,,0,0.0048,0,,0,0,0,,0,0,,,
917,0,,,0.363,0,0.1961,,0.1215,0,0.3286,,0.2778,0.0377,,,
918,0,,,0.2561,0,0,,0,0,0,,0.1708,0.06,,,
919,0,,,0,0.2773,0.0506,,0,0,0.0413,,0.3601,0,,,
920,0.2361,,,0.0056,0,0.1373,,0.0344,0,0.2139,,0.0867,0.0852,,,
921,0.6274,,,0.0694,0.3254,0,,0.0578,0.5,0.2418,,0.1285,0,,,
922,0,,,0.0576,0.1232,0.3227,,0,0,0.2781,,0,0,,,
923,0,,,0.235,0,0.1576,,0,0.2452,0.3386,,0,0,,,
924,0,,,0.2358,0.0459,0,,0,0,0,,0,0,,,
925,0.1166,,,0,0.4732,0.0782,,0.0554,0,0,,0,0,,,
926,0,,,0.2266,0.2557,0.0664,,0,0,0,,0,0.1037,,,
927,0.32,,,0.0516,0.1153,0,,0.0605,0.0276,0,,0,0,,,
928,0,,,0.0551,0,0,,0.0541,0.0399,0,,0.2261,0,,,
929,0,,,0.0253,0.1307,0,,0,0.1278,0,,0.2724,0,,,
930,0,,,0.0558,0,0.5,,0,0,0,,0.2019,0,,,
931,0,,,0.0465,0.3428,0,,0.003,0,0.048,,0.0777,0,,,
932,0,,,0.1739,0,0,,0.0556,0.0662,0.2499,,0.0884,0.1064,,,
933,0,,,0,0.3671,0,,0,0,0,,0.1728,0,,,
934,0,,,0.0563,0,0.0172,,0.1285,0.05,0.0629,,0.0635,0,,,
935,0,,,0,0,0.0921,,0.002,0,0,,0.1718,0.3712,,,
936,0,,,0.0453,0.3267,0,,0,0.0683,0,,0.0635,0.1787,,,
937,0,,,0,0,0.4688,,0,0.1026,0.0864,,0,0.1898,,,
938,0,,,0.5937,0,0,,0,0,0,,0.0782,0.3429,,,
939,0,,,0.0588,0,0,,0,0.1551,0,,0.314,0.0357,,,
940,0,,,0.0309,0,0.3972,,0.0291,0,0,,0,0.0516,,,
941,0.1068,,,0,0,0.5,,0.0102,0.0863,0,,0,0.0861,,,
942,0.2162,,,0.3877,0,0,,0.055,0.0494,0,,0.2026,0,,,
943,0.0099,,,0,0,0.1328,,0.0484,0,0.065,,0,0,,,
944,0,,,0,0.1103,0,,0.0187,0,0.0242,,0.1132,0,,,
945,0,,,0,0,0,,0,0.0193,0,,0.1917,0,,,
946,0.2154,,,0,0,0,,0,0,0,,0.0947,0,,,
947,0.1794,,,0,0,0.0105,,0,0,0,,0.0085,0.5143,,,
948,0.3665,,,0.0358,0,0.0285,,0,0.0394,0,,0,0.0405,,,
949,0.1958,,,0.1811,0.0526,0,,0.0122,0,0.0475,,0,0.0165,,,
950,0.0057,,,0.0143,0.5,0,,0,0.3644,0,,0.3376,0,,,
951,0.0096,,,0,0.1032,0.0345,,0,0.4474,0,,0,0.6217,,,
952,0,,,0,0,0.0935,,0.0232,0,0,,0,0,,,
953,0,,,0,0.2715,0,,0,0.0741,0,,0.051,0.0354,,,
954,0,,,0,0.1502,0,,0.1363,0,0,,0,0,,,
955,0.5,,,0,0,0,,0,0,0.0959,,0.09,0.0136,,,
956,0.2905,,,0,0.3751,0,,0,0,0,,0,0,,,
957,0,,,0.0111,0,0,,0.055,0,0,,0,0,,,
958,0.2372,,,0.2288,0.1548,0,,0,0,0.048,,0,0.1885,,,
959,0.1282,,,0.0473,0,0.0536,,0.0781,0.1176,0,,0.0404,0.1519,,,
960,0.0108,,,0.0397,0.3613,0.0952,,0,0.5,0,,0.0563,0.0822,,,
961,0.3009,,,0.176,0,0,,0,0,0.1312,,0,0,,,
962,0,,,0,0.0412,0.3963,,0,0,0.1464,,0,0,,,
963,0,,,0,0.0909,0,,0,0,0.0154,,0.005,0,,,
964,0,,,0.101,0.1838,0.1869,,0,0,0.5,,0,0,,,
965,0,,,0.0357,0,0.0668,,0,0,0,,0.2114,0,,,
966,0.0825,,,0.3846,0.1565,0.5,,0,0,0,,0,0,,,
967,0.0751,,,0.2319,0.1883,0,,0,0,0,,0.1025,0.0153,,,
968,0.3529,,,0.0589,0,0.0428,,0.0455,0,0,,0.2163,0.1754,,,
969,0,,,0,0.0244,0,,0,0.0618,0,,0.3053,0,,,
970,0.2171,,,0.2133,0,0.0774,,0,0.1455,0.1815,,0,0,,,
971,0,,,0.0262,0,0,,0,0,0.0804,,0.0433,0.0059,,,
972,0.1865,,,0.0944,0.2761,0,,0,0.3608,0,,0.1673,0.1434,,,
973,0.25,,,0,0,0.0318,,0.1043,0,0.3612,,0.5681,0.0819,,,
974,0,,,0,0.2735,0,,0,0,0.073,,0.1081,0,,,
975,0,,,0,0,0,,0.0662,0.04,0.2124,,0.0591,0.0427,,,
976,0.289,,,0,0.5,0.0798,,0.0461,0.1474,0.43,,0.2953,0,,,
977,0,,,0.0174,0.5156,0,,0,0.0164,0.0085,,0,0,,,
978,0.0665,,,0.2501,0.3359,0.0509,,0.1646,0.0349,0.0085,,0.0361,0.0488,,,
979,0,,,0.5,0,0,,0,0,0.1047,,0.0345,0,,,
980,0,,,0.119,0,0,,0,0.1808,0.3384,,0,0.0731,,,
981,0,,,0,0.1649,0,,0,0,0.2165,,0.0377,0.2322,,,
982,0,,,0.0375,0.2916,0,,0,0,0.0832,,0.0841,0,,,
983,0,,,0.2239,0.1052,0,,0,0,0.2316,,0.0473,0,,,
984,0.0734,,,0,0.2063,0.1563,,0,0,0,,0,0,,,
985,0.0471,,,0,0,0.3644,,0.0126,0,0.2237,,0,0,,,
986,0,,,0,0.5,0.5,,0.0817,0,0,,0,0,,,
987,0,,,0,0.1094,0,,0.0541,0,0.2673,,0,0,,,
988,0.1002,,,0.569,0.1105,0.0975,,0,0,0,,0,0,,,
989,0,,,0.0333,0.3129,0.0767,,0,0,0,,0,0.0882,,,
990,0,,,0.0484,0.0138,0,,0,0,0,,0,0,,,
991,0,,,0,0,0,,0.1855,0.1238,0,,0.0249,0.0502,,,
992,0,,,0.0077,0.1411,0,,0,0.0418,0.2227,,0,0,,,
993,0.5,,,0.2657,0.158,0,,0.1666,0.0821,0.1202,,0.2073,0,,,
994,0,,,0,0,0.0524,,0.0187,0,0.4553,,0,0,,,
995,0.0172,,,0.0843,0.5,0,,0.0765,0,0.1121,,0,0.0637,,,
996,0.0641,,,0,0.2107,0,,0,0.0502,0.0776,,0,0.2625,,,
997,0.0011,,,0,0,0.0103,,0,0.1529,0.0816,,0.0806,0,,,
998,0.0264,,,0.1337,0.13,0.0294,,0,0.0512,0,,0,0,,,
999,0.1321,,,0.5,0,0,,0,0.0318,0,,0,0,,,
1000,0,,,0.3345,0,0.0289,,0,0.0502,0.0351,,0.2174,0,,,
1001,0.2437,,,0,0,0,,0.2415,0,0,,0,0,,,
1002,0,,,0.5,0,0.1601,,0,0.3353,0,,0.0905,0,,,
1003,0,,,0,0,0.4581,,0.093,0.5,0,,0,0.0793,,,
1004,0,,,0,0.1018,0.0102,,0,0,0.0178,,0,0,,,
1005,0,,,0,0.0248,0,,0,0,0.0006,,0,0,,,
1006,0.5,,,0.1085,0,0,,0.1547,0,0.0085,,0.0898,0.0921,,,
1007,0.0056,,,0,0,0,,0,0,0.1191,,0.0467,0,,,
1008,0.1707,,,0.0762,0.1407,0,,0,0.0221,0.021,,0.0143,0.0532,,,
1009,0,,,0,0.2868,0.2645,,0,0,0.2944,,0,0.1026,,,
1010,0.0141,,,0.0434,0.1103,0.5,,0.0207,0.143,0.1805,,0.049,0,,,
1011,0.188,,,0.1201,0,0.5844,,0,0.0918,0.0521,,0.0704,0,,,
1012,0,,,0.1668,0.1278,0,,0.1375,0.0262,0.1565,,0,0,,,
1013,0,,,0,0,0.052,,0,0,0.3022,,0.0571,0.064,,,
1014,0.055,,,0,0,0.1254,,0.0391,0,0.1203,,0.0597,0,,,
1015,0.3116,,,0,0,0.2861,,0.0776,0,0.3952,,0,0,,,
1016,0,,,0,0,0,,0.0683,0,0,,0,0.5005,,,
1017,0,,,0.0342,0.3102,0.0766,,0.0683,0.0089,0.0109,,0,0,,,
1018,0,,,0,0.1276,0,,0.0258,0,0,,0.0812,0,,,
1019,0,,,0.204,0,0.094,,0,0,0,,0,0,,,
1020,0.1269,,,0.0816,0.1014,0,,0.0807,0.0547,0,,0.0282,0,,,
1021,0,,,0,0,0,,0,0,0.2444,,0.029,0,,,
1022,0.0342,,,0,0.2812,0,,0.1955,0,0.1014,,0.0279,0,,,
1023,0.0022,,,0,0.0098,0.5,,0.0188,0.0177,0,,0,0,,,
1024,0,,,0.2073,0,0.2516,,0,0,0,,0.1283,0.1671,,,
1025,0.3054,,,0,0.2224,0.0852,,0,0,0,,0.0592,0.2761,,,
1026,0.3626,,,0.4817,0.1138,0,,0.0926,0,0.0491,,0,0.1767,,,
1027,0,,,0,0,0.0892,,0.1564,0,0.0085,,0,0,,,
1028,0,,,0,0,0,,0.249,0,0.2526,,0.5,0.0655,,,
1029,0.3272,,,0.0882,0.5,0.0638,,0,0,0.3413,,0,0.1125,,,
1030,0,,,0.277,0.0291,0,,0,0,0.2258,,0.1446,0.0608,,,
1031,0,,,0.1047,0,0.159,,0,0,0,,0.1967,0.0513,,,
1032,0.1934,,,0.2187,0,0.0437,,0,0.0491,0,,0.0088,0.0104,,,
1033,0.2438,,,0,0,0.288,,0,0.0352,0,,0.2395,0,,,
1034,0.1694,,,0.2927,0.166,0.1005,,0.0594,0,0,,0,0.0947,,,
1035,0.1547,,,0,0.5,0,,0,0,0,,0,0.5,,,
1036,0,,,0.4129,0.1068,0.264,,0.0104,0.1741,0.101,,0,0.3208,,,
1037,0,,,0.6043,0,0.0267,,0.0926,0.0519,0.3461,,0.0107,0.1499,,,
1038,0.1889,,,0.0764,0,0.3118,,0,0.0002,0.2252,,0,0,,,
1039,0.5,,,0.1306,0.0435,0.0592,,0.2513,0.0348,0.0535,,0,0.0924,,,
1040,0.0256,,,0.0726,0,0.0545,,0.0809,0,0.1383,,0.1297,0.1289,,,
1041,0,,,0,0,0,,0,0,0,,0,0,,,
1042,0,,,0,0.1657,0,,0.0781,0,0.2275,,0,0,,,
1043,0,,,0,0,0.1238,,0,0.0267,0.0446,,0,0.0195,,,
1044,0,,,0,0.1232,0.0918,,0,0.0191,0.1627,,0,0,,,
1045,0.0547,,,0.0622,0,0.5,,0,0.1913,0,,0.0372,0.0869,,,
1046,0.5,,,0,0.5,0,,0,0,0,,0,0.2407,,,
1047,0.0825,,,0,0.7806,0,,0,0,0,,0,0.0312,,,
1048,0,,,0.0746,0,0,,0,0,0,,0,0.382,,,
1049,0.2254,,,0,0,0,,0.0301,0,0,,0,0.0274,,,
1050,0.2828,,,0.0057,0,0.0013,,0.1098,0.0227,0,,0.0999,0.0957,,,
1051,0.187,,,0,0.0442,0,,0.0709,0.014,0,,0,0.0786,,,
1052,0,,,0.5,0,0.0935,,0,0,0,,0,0.0307,,,
1053,0,,,0.2248,0,0.5602,,0,0,0,,0,0,,,
1054,0.144,,,0.1966,0,0.0912,,0.0671,0,0,,0,0.0312,,,
1055,0,,,0,0,0.3487,,0.085,0,0,,0,0,,,
1056,0,,,0.0381,0,0.5217,,0.0154,0.0474,0,,0.1814,0.0696,,,
1057,0.4043,,,0.0153,0.0161,0.1801,,0,0,0.1176,,0.1296,0.0959,,,
1058,0.0783,,,0,0,0,,0.0564,0,0,,0.1409,0,,,
1059,0.4406,,,0.076,0,0.1102,,0,0,0.219,,0.0152,0.0418,,,
1060,0,,,0,0,0,,0.0346,0,0.0112,,0.5,0.0312,,,
1061,0,,,0,0,0,,0.0342,0,0,,0,0,,,
1062,0,,,0,0,0.4049,,0.0498,0,0,,0,0,,,
1063,0,,,0.0867,0,0.4976,,0,0,0,,0,0,,,
1064,0.1228,,,0,0.5,0.111,,0,0,0,,0,0,,,
1065,0,,,0,0,0,,0.0742,0.0793,0.1072,,0,0.1034,,,
1066,0,,,0,0.1326,0.2295,,0.1281,0,0.0178,,0,0.1912,,,
1067,0.046,,,0,0.1346,0.0294,,0.0485,0,0.1833,,0.3249,0.0141,,,
1068,0,,,0,0,0,,0.7527,0,0.1448,,0,0.0736,,,
1069,0.2769,,,0,0,0,,0,0.5,0,,0,0,,,
1070,0,,,0.1171,0.4242,0.0202,,0.0497,0.2798,0,,0,0.0428,,,
1071,0,,,0.351,0.0277,0.1213,,0,0.0224,0,,0,0,,,
1072,0,,,0.2139,0.0448,0.0726,,0.0517,0,0,,0.0305,0.0776,,,
1073,0.405,,,0.0042,0.0442,0,,0,0,0,,0,0,,,
1074,0.2556,,,0.0926,0.2549,0,,0,0,0.0964,,0.1379,0,,,
1075,0,,,0,0,0.0102,,0,0.46,0,,0.0676,0,,,
1076,0.2424,,,0.1521,0.1166,0,,0,0,0.4326,,0,0.142,,,
1077,0,,,0,0,0.147,,0,0.2397,0.2964,,0,0,,,
1078,0.2198,,,0,0.5,0,,0.1024,0,0,,0,0,,,
1079,0.4458,,,0,0,0.5,,0,0,0.073,,0.1613,0.0274,,,
1080,0.3068,,,0.1019,0,0.0171,,0.0493,0.0461,0.1797,,0,0.1264,,,
1081,0.2526,,,0.0767,0.1206,0.5,,0.1021,0,0.021,,0,0,,,
1082,0,,,0.0472,0,0.4291,,0,0,0,,0,0,,,
1083,0.1602,,,0.0895,0.0282,0.0781,,0.1083,0,0,,0,0,,,
1084,0.603,,,0.2536,0,0,,0,0,0,,0,0.1397,,,
1085,0,,,0,0,0.2424,,0,0,0,,0,0.0502,,,
1086,0,,,0,0.0182,0.2962,,0,0,0,,0,0.0274,,,
1087,0.0342,,,0.0155,0.0578,0.051,,0.0396,0,0,,0.5,0.3873,,,
1088,0.2035,,,0,0,0.0996,,0.0848,0,0,,0.6277,0,,,
1089,0.5809,,,0.0561,0,0,,0,0,0,,0.2539,0.0089,,,
1090,0,,,0,0,0.5,,0.0767,0,0.0582,,0,0,,,
1091,0,,,0.0115,0.212,0,,0,0,0,,0.0795,0.0221,,,
1092,0,,,0.0501,0,0.068,,0,0,0,,0.5545,0,,,
1093,0,,,0,0,0,,0,0,0,,0,0,,,
1094,0,,,0.0535,0.1716,0.4332,,0,0,0.1451,,0.1165,0.1835,,,
1095,0.4875,,,0.0474,0.1664,0.0583,,0,0.0161,0,,0,0.1264,,,
1096,0.5,,,0,0.0356,0.0319,,0.1668,0,0,,0.364,0.0117,,,
1097,0,,,0.0732,0,0.2641,,0.0987,0,0,,0,0,,,
1098,0.7549,,,0.136,0.1477,0.1894,,0.145,0,0,,0.1509,0,,,
1099,0.379,,,0.4032,0.0587,0,,0,0.0864,0,,0,0,,,
1100,0.1292,,,0,0.058,0.3356,,0,0,0.0484,,0,0,,,
1101,0,,,0,0.324,0.2885,,0,0.4274,0,,0,0.1087,,,
1102,0.1003,,,0.0261,0,0.0836,,0,0.1124,0,,0.243,0,,,
1103,0.1581,,,0.0943,0.1,0.1111,,0,0,0,,0.0438,0.0287,,,
1104,0,,,0,0,0.0454,,0,0,0,,0,0,,,
1105,0.2513,,,0.1521,0.2498,0.1031,,0,0.0132,0,,0,0,,,
1106,0,,,0,0,0,,0.015,0.0671,0,,0.5448,0,,,
1107,0.5,,,0.4834,0,0.3185,,0,0,0,,0,0,,,
1108,0.2,,,0,0,0.528,,0.0926,0.3076,0,,0.1258,0.3568,,,
1109,0.1378,,,0,0.1819,0,,0,0,0,,0.0307,0,,,
1110,0,,,0,0,0.1695,,0,0,0,,0,0,,,
1111,0.2437,,,0,0.283,0.0324,,0.1718,0,0.0398,,0.0665,0.3579,,,
1112,0,,,0.0836,0,0,,0.1168,0,0,,0,0.1538,,,
1113,0,,,0.0606,0,0.5,,0.0231,0,0,,0,0.1372,,,
1114,0.0956,,,0.0926,0,0.4226,,0.0255,0,0,,0,0.4693,,,
1115,0.0416,,,0,0.0765,0,,0.0943,0,0,,0.217,0.0199,,,
1116,0.0701,,,0.4735,0.0079,0,,0,0,0,,0,0.1712,,,
1117,0.0337,,,0,0.253,0.1387,,0.011,0,0,,0,0.5,,,
1118,0,,,0,0,0.0405,,0.0893,0,0,,0,0,,,
1119,0.0941,,,0.1292,0.0011,0.3276,,0.1272,0,0,,0,0,,,
1120,0,,,0,0.0546,0,,0.0348,0.0132,0,,0,0,,,
1121,0,,,0.0386,0.5,0.3582,,0,0,0.0672,,0,0.3019,,,
1122,0.139,,,0.2658,0.3162,0,,0,0,0,,0,0.5,,,
1123,0,,,0.0433,0.1062,0.5,,0.1659,0,0,,0,0.1468,,,
1124,0.0642,,,0,0,0.0324,,0,0,0,,0,0.037,,,
1125,0.1064,,,0,0,0.2841,,0,0,0,,0,0,,,
1126,0,,,0,0.0288,0,,0.1054,0,0.5,,0.2784,0.1031,,,
1127,0.043,,,0,0,0,,0,0,0,,0.0975,0.0364,,,
1128,0,,,0,0.1699,0,,0,0.0132,0,,0.1396,0,,,
1129,0.089,,,0,0.1224,0.1971,,0,0,0.0883,,0,0,,,
1130,0.0027,,,0,0,0.0234,,0,0.0132,0,,0,0.2342,,,
1131,0.1343,,,0,0.2908,0.1568,,0.1203,0,0.0235,,0,0,,,
1132,0.0276,,,0,0.0316,0.4884,,0,0.0095,0.1382,,0,0,,,
1133,0,,,0,0.1936,0,,0,0,0,,0.1322,0,,,
1134,0.0321,,,0.0136,0.2518,0,,0.0347,0,0.0303,,0.0962,0.0546,,,
1135,0,,,0.0376,0.0294,0,,0.0267,0,0.0946,,0.014,0,,,
1136,0.083,,,0,0,0,,0,0,0.3012,,0.0935,0.2646,,,
1137,0.4281,,,0.1608,0,0.0782,,0,0.0104,0.1242,,0,0,,,
1138,0.1249,,,0,0.141,0.0492,,0,0.2207,0.0823,,0.0453,0,,,
1139,0,,,0.0945,0,0.1448,,0.0068,0.0404,0,,0,0,,,
1140,0,,,0,0.2705,0,,0,0,0,,0,0.0686,,,
1141,0,,,0,0,0,,0,0,0.1265,,0,0.2018,,,
1142,0.1723,,,0,0.1309,0.1263,,0,0,0,,0.5,0,,,
1143,0,,,0,0.0677,0.4217,,0,0.0524,0.1944,,0,0.0289,,,
1144,0,,,0,0.0442,0,,0.0206,0,0,,0,0,,,
1145,0,,,0,0,0.1256,,0.0985,0,0,,0,0,,,
1146,0,,,0,0.0442,0.5,,0,0,0,,0,0,,,
1147,0.0984,,,0.0972,0.0684,0.1406,,0,0,0,,0,0,,,
1148,0,,,0.0314,0.0182,0,,0,0,0.0433,,0,0,,,
1149,0,,,0,0.2534,0.1018,,0,0,0.0936,,0.5,0,,,
1150,0.0144,,,0.0475,0,0,,0,0,0,,0,0,,,
1151,0.2722,,,0,0.0346,0.2333,,0.0853,0,0.0703,,0,0,,,
1152,0,,,0.3994,0,0.1475,,0,0,0.1602,,0,0.0909,,,
1153,0.0454,,,0,0.1174,0.5,,0.124,0,0.012,,0.0945,0,,,
1154,0.0107,,,0.1664,0.2018,0.4062,,0,0,0,,0.0963,0.0603,,,
1155,0.1161,,,0.0272,0.1014,0.2889,,0,0.0788,0,,0,0,,,
1156,0.0598,,,0,0,0,,0,0.0551,0.4202,,0.0429,0.1096,,,
1157,0.1353,,,0,0,0.0261,,0.0863,0,0.0034,,0,0,,,
1158,0,,,0,0,0,,0,0,0,,0.0287,0.2594,,,
1159,0.2062,,,0,0.0083,0,,0.1084,0.0677,0,,0,0.0397,,,
1160,0.1092,,,0.0925,0,0,,0,0,0,,0,0,,,
1161,0.117,,,0,0.0369,0,,0,0,0,,0,0.0479,,,
1162,0.0015,,,0.0534,0.4662,0,,0.0341,0.0233,0,,0,0.0065,,,
1163,0.0375,,,0,0.4442,0,,0,0.1694,0.0219,,0,0,,,
1164,0,,,0.1014,0.2129,0,,0,0.0175,0.1487,,0,0.076,,,
1165,0.0682,,,0,0,0,,0.0197,0.1903,0.2815,,0,0.2666,,,
1166,0,,,0,0.0762,0,,0.0173,0.013,0.1034,,0,0,,,
1167,0.1589,,,0.021,0,0,,0.0094,0,0.0427,,0,0,,,
1168,0,,,0.1342,0.0873,0.03,,0,0,0.0946,,0,0.0745,,,
1169,0,,,0.0393,0,0,,0.042,0,0.0645,,0,0,,,
1170,0,,,0,0.0291,0,,0.0654,0,0.1944,,0.0242,0.1486,,,
1171,0,,,0,0.1946,0,,0,0,0.5091,,0,0,,,
1172,0.1068,,,0,0,0.3431,,0,0,0,,0,0.2038,,,
1173,0.053,,,0,0,0,,0,0,0,,0,0.481,,,
1174,0.1208,,,0,0.1818,0,,0,0,0,,0,0,,,
