Individual,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
49,0.1437,,,0.0016,0.1289,0.1349,,0.0082,0.0679,0.2131,,0.0319,0.519,,,
50,0.6338,,,0.0105,0.0024,0.0251,,0.1701,0.0011,0.1879,,0.0192,0.3414,,,
51,0.3469,,,0.0114,0.0098,0.0159,,0.2101,0.1082,0.0022,,0,0.0294,,,
52,0,,,0.0036,0,0.2317,,0.0077,0.0346,0.0263,,0.0326,0.0018,,,
53,0.3163,,,0.176,0.2131,0.0003,,0.3162,0.0017,0.0375,,0,0.0196,,,
54,0.5243,,,0.0148,0.0292,0,,0.0976,0.0085,0.1922,,0.0209,0.2633,,,
55,0.0683,,,0.048,0,0.146,,0.0004,0.0311,0,,,0.0174,,,
56,0.0948,,,0.0729,0.1412,0.0004,,0.0918,0.0093,0.0607,,,0.0083,,,
57,0.1275,,,0.0258,0.0972,0.0232,,0.125,0.4138,0.1261,,,0.003,,,
58,0.0021,,,0.013,0,0.0355,,0.0739,,0.0923,,,0.0002,,,
59,0.1533,,,0.018,0.2107,0,,0.3404,,0.2168,,,0,,,
60,0,,,0.0102,0.0028,0.0073,,0.2284,,0.0006,,,0.0021,,,
61,0.1717,,,0.0456,0.0988,0.005,,0.1506,,0.0049,,,0,,,
62,0.089,,,0.0019,0.0462,0.0004,,0.0082,,0,,,0.0205,,,
63,0,,,0.0015,0,0.0011,,0.2306,,0.0195,,,0.005,,,
64,0.0306,,,0.3139,0.0027,0.0585,,0.1133,,0.5044,,,0.0015,,,
65,0.0217,,,0.1539,0.0421,0.0081,,0.1682,,0,,,0.0008,,,
66,0.0458,,,0.0007,0.0578,0.2172,,0.1328,,0.0469,,,0.068,,,
67,0.001,,,0.0293,0.1274,0.1576,,0.4658,,0.2162,,,0.0011,,,
68,0.3014,,,0.0153,0.0884,0.0437,,0.0005,,0.1602,,,0.0465,,,
69,0.0297,,,0.0968,0.2785,0.0116,,0.2614,,0.0105,,,0.0253,,,
70,0.0126,,,0.0934,0.0188,0.2021,,0,,0.3779,,,0.0582,,,
71,0.2111,,,0.0047,0.1955,0.0184,,0.017,,0.1873,,,0.0596,,,
72,0.0859,,,0.0726,0.0011,0,,0.0285,,0.0003,,,0.042,,,
73,0.0045,,,0.0614,0.1634,0.0023,,0.1275,,0.0317,,,0.0007,,,
74,0.0567,,,0.0269,0.1025,0.0504,,0.0447,,0.2239,,,0.0021,,,
75,0.2965,,,0.0072,0.1993,0.0007,,0.0548,,0.1987,,,0.0029,,,
76,0.0028,,,0.0012,0.0016,0.0893,,0.1992,,0.0002,,,0.0006,,,
77,0.007,,,0.2636,0,0.0366,,0,,0.0335,,,0.0015,,,
78,0.0004,,,0.0011,0.0772,0.0065,,0.0285,,0.0063,,,0,,,
79,0.0947,,,0.0126,0.0017,0.1801,,0.0018,,0.1784,,,0.0009,,,
80,,,,0.1865,0.005,0.0002,,0,,0.443,,,0.0117,,,
81,,,,0.005,0.0059,0.001,,0.017,,0.3381,,,0.0079,,,
82,,,,0.0336,0.153,0.0459,,0.049,,0.0321,,,0.1139,,,
83,,,,0.1286,0.0034,0.0223,,0.161,,0.0114,,,0.13,,,
84,,,,0.133,0.0018,0.0158,,0.118,,0.0366,,,0.0077,,,
85,,,,0.0044,0.0096,0.1893,,0,,0.2223,,,0.5662,,,
86,,,,0.0461,0.072,0.393,,0.0216,,0.0739,,,0.0285,,,
87,,,,0.0262,0.1203,0.0014,,0.0035,,0.0095,,,0.0467,,,
88,,,,0.0663,0.0138,0.0346,,0.0385,,0.0003,,,0,,,
89,,,,0,0.268,0.0019,,0,,0.009,,,0.0013,,,
90,,,,0.3363,0,0.0067,,0,,0.2306,,,0.0089,,,
91,,,,0.2207,0.1681,0.1719,,0,,0.0396,,,0.0263,,,
92,,,,0.451,0.0075,0.5203,,0.3353,,0.0409,,,0.042,,,
93,,,,0.0429,0,0.0039,,0.0001,,0.0034,,,0.1552,,,
94,,,,0.0021,0,0.0209,,0.0662,,0.0925,,,0.0173,,,
95,,,,0.2479,0,0.0894,,0.0435,,0.0019,,,0.0149,,,
96,,,,,0.2426,0.0394,,0.2104,,0.0765,,,0.0068,,,
97,,,,,0.1307,0.3793,,0.0015,,0.0161,,,0.0112,,,
98,,,,,0.0651,0.0005,,0.0112,,0.0125,,,0.0082,,,
99,,,,,0.0238,0.003,,0.0791,,0.0775,,,0,,,
100,,,,,0.0006,0.0159,,0.0565,,0.0414,,,,,,
101,,,,,0.0043,0.0648,,0.0113,,0.8141,,,,,,
102,,,,,0.0027,0.2781,,0.0135,,0.1882,,,,,,
103,,,,,0.0342,0.0004,,0.0622,,0.2855,,,,,,
104,,,,,0.1089,0.022,,0.0903,,0.3846,,,,,,
105,,,,,0.331,0.2845,,0.1119,,0.4859,,,,,,
106,,,,,0,0.0446,,0.0446,,0.1721,,,,,,
107,,,,,0.1199,0.0046,,0.3144,,0.0917,,,,,,
108,,,,,0.0817,0.1296,,0.2603,,0.2498,,,,,,
109,,,,,0.0018,0.0873,,0.0161,,0.1455,,,,,,
110,,,,,0.0927,0.0142,,0,,0.0196,,,,,,
111,,,,,0.086,0.2829,,0.0781,,0.0784,,,,,,
112,,,,,0.0201,0.1866,,0.4306,,0.323,,,,,,
113,,,,,0.1781,0.0045,,0.0052,,0.0069,,,,,,
114,,,,,0.0128,0.0189,,0.0016,,0,,,,,,
115,,,,,0,0.0527,,0.0511,,0.1205,,,,,,
116,,,,,0.0849,0.1356,,0.0731,,0.1398,,,,,,
117,,,,,0,0.0009,,0.0075,,0.0102,,,,,,
118,,,,,0.5525,0.0188,,0.2559,,0.3695,,,,,,
119,,,,,0.0049,0.0485,,0.0972,,0.0008,,,,,,
120,,,,,0.0033,0.0015,,0.0006,,0.7057,,,,,,
121,,,,,0.0756,0.006,,0.1828,,0.2655,,,,,,
122,,,,,0,0.0372,,0.0363,,0.1231,,,,,,
123,,,,,0.0506,0,,0.0766,,0.4751,,,,,,
124,,,,,0.1314,0.1743,,0.0448,,0.0343,,,,,,
125,,,,,0.0763,0.1005,,0.0721,,0.007,,,,,,
126,,,,,0,0.004,,0.0108,,0.5121,,,,,,
127,,,,,0.4091,0.1373,,0.0143,,0.0645,,,,,,
128,,,,,0.3081,0.0089,,0.2293,,0.5035,,,,,,
129,,,,,0,0.2191,,0.001,,0.011,,,,,,
130,,,,,0.0014,0.4829,,0.0338,,0.283,,,,,,
131,,,,,0,0.0015,,0.0015,,0.1015,,,,,,
132,,,,,0.0315,0.0004,,0.0108,,0.1372,,,,,,
133,,,,,0.0299,0.0837,,0.0059,,0.0324,,,,,,
134,,,,,0.0386,0.0495,,0.0002,,0.0188,,,,,,
135,,,,,0.0098,0.0339,,0.0393,,0.0892,,,,,,
136,,,,,0.0352,0.0003,,0.0087,,0.1825,,,,,,
